"term","N","Events","HR","CI_lower","CI_upper","P_value","HR_95CI","P_value_format"
"AgeGroup<50",12829,3336,0.712054511532342,0.650390871614142,0.779564488866878,2.00919564740309e-13,"0.712 (0.650-0.780)","<0.001***"
"GenderMale",12829,3336,1.04340315919633,0.972765481377244,1.11917021467448,0.234858298045827,"1.043 (0.973-1.119)","0.235"
"LocationDistal_colon",12829,3336,0.878236739656282,0.804126873095865,0.959176712889367,0.00389432073388713,"0.878 (0.804-0.959)","0.004**"
"LocationProximal_colon",12829,3336,1.05420118884122,0.966006728614818,1.15044762488126,0.236368090650614,"1.054 (0.966-1.150)","0.236"
"Pathology_classMucinous_adenocarcinoma",12829,3336,0.935149155929735,0.824509393533389,1.06063551330623,0.29664630482976,"0.935 (0.825-1.061)","0.297"
"Pathology_classSignet_ring_cell",12829,3336,1.54342855829905,1.23357818326112,1.93110720252487,0.000147045499811152,"1.543 (1.234-1.931)","<0.001***"
"DifferentiationModerate",12829,3336,0.945974944630993,0.656835145169087,1.3623945101769,0.765390417447403,"0.946 (0.657-1.362)","0.765"
"DifferentiationPoor",12829,3336,1.34769545445968,0.931512978327761,1.949820432166,0.113311421710552,"1.348 (0.932-1.950)","0.113"
"LVIYes",12829,3336,1.82483395086058,1.69384125554006,1.96595692620068,2.05190879793633e-56,"1.825 (1.694-1.966)","<0.001***"
"PNIYes",12829,3336,1.70763430791374,1.58196324038016,1.8432886777213,7.69892553593525e-43,"1.708 (1.582-1.843)","<0.001***"
"pTstageT2",12829,3336,1.51530777021865,1.11834345042607,2.05317752575044,0.0073265470262144,"1.515 (1.118-2.053)","0.007**"
"pTstageT3",12829,3336,2.35929788331877,1.75419845262619,3.17312245595657,1.37152789785442e-08,"2.359 (1.754-3.173)","<0.001***"
"pTstageT4",12829,3336,2.98896007274269,2.23398976266276,3.99907039224809,1.69142898081831e-13,"2.989 (2.234-3.999)","<0.001***"
"max_diameter",12829,3336,1.02167961399726,0.999694431811886,1.04414829215936,0.0533066342110368,"1.022 (1.000-1.044)","0.053"
