"cutoff","TumorSizeGroup","N","Metastasis_n","Crude_rate","Standardized_rate"
1,"Small",130,57,0.438461538461538,0.567361791682372
1,"Large",13135,7712,0.587133612485725,0.585024651501092
1.1,"Small",217,114,0.525345622119816,0.670680642228315
1.1,"Large",13048,7655,0.586679950950337,0.583762541606328
1.2,"Small",228,118,0.517543859649123,0.662664631190624
1.2,"Large",13037,7651,0.586868144511774,0.583797569543889
1.3,"Small",287,152,0.529616724738676,0.675987051335796
1.3,"Large",12978,7617,0.586916319926029,0.58331579531082
1.4,"Small",322,168,0.521739130434783,0.694505300950521
1.4,"Large",12943,7601,0.587267248705864,0.583110900253469
1.5,"Small",339,179,0.528023598820059,0.701108745431013
1.5,"Large",12926,7590,0.587188612099644,0.582819457673476
1.6,"Small",716,394,0.550279329608939,0.713599699127908
1.6,"Large",12549,7375,0.587696230775361,0.57960725167648
1.7,"Small",800,438,0.5475,0.707831281953827
1.7,"Large",12465,7331,0.588126754913759,0.578874368627564
1.8,"Small",800,438,0.5475,0.707831281953827
1.8,"Large",12465,7331,0.588126754913759,0.578874368627564
1.9,"Small",932,495,0.531115879828326,0.697271876247854
1.9,"Large",12333,7274,0.589799724316873,0.578382579405107
2,"Small",941,499,0.53028692879915,0.696192317438897
2,"Large",12324,7270,0.589905874716001,0.578421544341729
2.1,"Small",1776,939,0.528716216216216,0.649347419902958
2.1,"Large",11489,6830,0.594481678126904,0.577822494262252
2.2,"Small",1778,941,0.529246344206974,0.649595101039593
2.2,"Large",11487,6828,0.594411073387307,0.577607660391186
2.3,"Small",1909,1013,0.530644316396019,0.65321328134803
2.3,"Large",11356,6756,0.594927791475872,0.577450888691379
2.4,"Small",2035,1087,0.534152334152334,0.650769400404824
2.4,"Large",11230,6682,0.595013357079252,0.576919867152166
2.5,"Small",2035,1087,0.534152334152334,0.650769400404824
2.5,"Large",11230,6682,0.595013357079252,0.576919867152166
2.6,"Small",2918,1595,0.546607265250171,0.652961359953881
2.6,"Large",10347,6174,0.596694694114236,0.573209800257276
2.7,"Small",2967,1625,0.547691270643748,0.652553160096025
