"Variable","N","HR (95%CI)","P value","P for non-linear"
"max_diameter","12829","NA","0.006**","0.013*"
"Age","","","<0.001***",""
"    ≥50","10261","Ref","",""
"    <50","2568","0.71 (0.65,0.78)","",""
"Gender","","","0.235",""
"    Female","5276","Ref","",""
"    Male","7553","1.04 (0.97,1.12)","",""
"Location","","","0.002**",""
"    Rectum","6926","Ref","",""
"    Distal","2938","0.88 (0.81,0.96)","",""
"    Proximal","2965","1.05 (0.96,1.14)","",""
"Differentiation","","","<0.001***",""
"    Well","206","Ref","",""
"    Medium","9443","0.95 (0.66,1.37)","",""
"    Poor","3180","1.35 (0.94,1.96)","",""
"Pathology Class","","","<0.001***",""
"    Class I","11680","Ref","",""
"    Class II","971","0.93 (0.82,1.06)","",""
"    Class III","178","1.57 (1.26,1.96)","",""
"pTstage","","","<0.001***",""
"    T1","593","Ref","",""
"    T2","2212","1.62 (1.19,2.21)","",""
"    T3","4362","2.56 (1.89,3.46)","",""
"    T4","5662","3.25 (2.42,4.38)","",""
"LVI","3770","1.83 (1.70,1.97)","<0.001***",""
"PNI","3279","1.71 (1.59,1.85)","<0.001***",""
