iter	Passed	Remaining
0	0	287
1	2	347
2	3	308
3	3	284
4	4	273
5	5	265
6	6	263
7	7	260
8	7	255
9	8	250
10	9	255
11	10	252
12	11	262
13	12	261
14	13	257
15	14	255
16	15	252
17	15	250
18	16	247
19	17	245
20	18	242
21	19	240
22	19	238
23	20	236
24	21	234
25	22	232
26	22	230
27	23	228
28	24	227
29	25	225
30	25	224
31	26	223
32	28	227
33	28	225
34	29	223
35	30	226
36	31	227
37	33	229
38	34	227
39	34	226
40	35	224
41	36	223
42	37	221
43	37	220
44	39	222
45	40	221
46	41	222
47	42	223
48	43	222
49	44	220
50	45	220
51	46	219
52	46	218
53	48	220
54	49	218
55	49	217
56	51	217
57	51	216
58	52	214
59	53	213
60	54	212
61	54	210
62	56	211
63	57	210
64	58	209
65	58	208
66	59	207
67	60	206
68	61	204
69	61	203
70	62	203
71	63	201
72	64	199
73	64	198
74	65	197
75	66	196
76	67	195
77	68	194
78	69	194
79	70	194
80	71	193
81	72	192
82	73	191
83	74	190
84	74	189
85	75	188
86	76	187
87	77	186
88	78	184
89	78	183
90	79	182
91	80	181
92	81	180
93	81	179
94	82	178
95	83	177
96	84	176
97	84	175
98	85	174
99	86	172
100	87	171
101	88	171
102	89	170
103	90	169
104	90	168
105	91	167
106	92	166
107	93	165
108	93	164
109	94	163
110	95	162
111	96	161
112	97	160
113	97	159
114	98	158
115	99	157
116	100	156
117	101	155
118	101	154
119	102	153
120	103	152
121	104	151
122	104	151
123	105	150
124	106	149
125	107	148
126	108	147
127	109	146
128	109	145
129	110	144
130	111	143
131	112	142
132	112	141
133	113	140
134	114	139
135	115	138
136	116	138
137	117	138
138	118	137
139	119	136
140	119	135
141	120	134
142	122	134
143	122	133
144	123	132
145	124	131
146	125	130
147	125	129
148	126	128
149	127	127
150	128	126
151	129	125
152	129	124
153	130	123
154	131	122
155	132	121
156	132	121
157	133	120
158	134	119
159	135	118
160	136	117
161	136	116
162	138	116
163	138	115
164	139	114
165	140	113
166	141	112
167	141	111
168	142	110
169	143	109
170	144	108
171	145	107
172	145	107
173	146	106
174	147	105
175	148	104
176	149	103
177	149	102
178	150	102
179	152	101
180	152	100
181	153	99
182	155	99
183	156	98
184	157	97
185	158	97
186	159	96
187	159	95
188	160	94
189	161	93
190	162	92
191	163	91
192	163	90
193	164	90
194	165	89
195	166	88
196	167	87
197	168	86
198	169	85
199	170	85
200	171	84
201	172	83
202	173	82
203	173	81
204	174	80
205	175	80
206	176	79
207	177	78
208	177	77
209	178	76
210	179	75
211	180	74
212	181	73
213	181	73
214	183	72
215	184	71
216	184	70
217	185	69
218	187	69
219	187	68
220	188	67
221	189	66
222	190	65
223	190	64
224	191	63
225	192	63
226	193	62
227	194	61
228	194	60
229	195	59
230	196	58
231	197	57
232	198	57
233	199	56
234	200	55
235	200	54
236	201	53
237	202	52
238	203	51
239	204	51
240	204	50
241	205	49
242	206	48
243	207	47
244	208	46
245	208	45
246	209	44
247	210	44
248	211	43
249	211	42
250	212	41
251	213	40
252	214	39
253	215	38
254	216	38
255	216	37
256	217	36
257	218	35
258	219	34
259	220	33
260	221	33
261	221	32
262	222	31
263	223	30
264	223	29
265	224	28
266	225	27
267	226	27
268	227	26
269	228	25
270	229	24
271	229	23
272	230	22
273	231	21
274	232	21
275	233	20
276	234	19
277	234	18
278	235	17
279	236	16
280	237	16
281	237	15
282	238	14
283	239	13
284	240	12
285	240	11
286	241	10
287	242	10
288	243	9
289	243	8
290	244	7
291	245	6
292	246	5
293	246	5
294	247	4
295	248	3
296	249	2
297	250	1
298	251	0
299	252	0
