feature_1,feature_2,interaction_strength,interaction_signed_mean,nunique_1,nunique_2
Lymphovasscular invasion,max_diameter,0.059130847,-0.0002688444,2,77
Age,max_diameter,0.048677117,0.011067591,4336,77
pTstage,max_diameter,0.04254183,-0.020535577,5,77
Lymphovasscular invasion,pTstage,0.035908654,-9.5719275e-05,2,5
Lymphovasscular invasion,Age,0.03147382,-0.0010407887,2,4336
Lymphovasscular invasion,Gender,0.030543279,-0.001082086,2,2
Age,ki67,0.024784027,0.00013008929,4336,27
Age,Differentiation,0.023157569,-0.002161742,4336,3
pTstage,Age,0.021926505,-0.000859428,5,4336
Age,Mucinous subtype_0,0.021211602,-0.0006420732,4336,2
Pathology_class_0,KRAS_result_L1_0,0.020452969,-0.0019968757,2,2
Lymphovasscular invasion,Perineural invasion,0.019182637,-0.001445788,2,2
Lymphovasscular invasion,Location_1,0.018149933,0.0030006543,2,2
pTstage,KRAS_result_L1_0,0.015444908,-0.0027282787,5,2
Lymphovasscular invasion,KRAS_result_L1_0,0.015211879,5.466519e-06,2,2
Age,KRAS_result_L1_0,0.013957658,0.00064851716,4336,2
Pathology_class_0,Age,0.013595757,-0.0027780759,2,4336
Perineural invasion,Pathology_class_0,0.0134719405,-0.0018463335,2,2
Age,Gender,0.012863477,0.0007086547,4336,2
Lymphovasscular invasion,Pathology_class_0,0.012759126,-0.0013522687,2,2
Perineural invasion,KRAS_result_L1_0,0.01260635,0.00036932324,2,2
Perineural invasion,Age,0.012555636,0.0013635046,2,4336
Perineural invasion,Gender,0.011918229,-0.00088393467,2,2
Age,Location_1,0.011889238,0.00034685238,4336,2
pTstage,Perineural invasion,0.011436844,0.0042867498,5,2
Perineural invasion,ki67,0.011280613,-0.0013008123,2,27
max_diameter,Differentiation,0.011172178,0.0039691804,77,3
max_diameter,KRAS_result_L1_0,0.011113814,-0.00040781774,77,2
max_diameter,ki67,0.011079238,-2.638797e-06,77,27
Pathology_class_0,max_diameter,0.010770218,-0.0010408998,2,77
Perineural invasion,max_diameter,0.0105532,-0.0010228006,2,77
pTstage,Gender,0.010055709,-0.0009299461,5,2
ki67,Gender,0.008910993,-0.0010432584,27,2
Lymphovasscular invasion,ki67,0.008695533,-0.00033956385,2,27
Pathology_class_0,ki67,0.008429628,-0.002981472,2,27
max_diameter,Gender,0.0082580745,-0.000556243,77,2
Age,Location_3,0.007966482,0.0014965117,4336,2
pTstage,ki67,0.0076188706,0.002585233,5,27
pTstage,Location_3,0.0075030182,-0.0015941635,5,2
max_diameter,Location_3,0.0073896814,0.00022266239,77,2
max_diameter,Location_2,0.007379128,9.814988e-05,77,2
max_diameter,Location_1,0.0070999027,-0.0014528476,77,2
max_diameter,Mucinous subtype_0,0.0068937936,0.00068100484,77,2
Age,Location_2,0.0068729273,-0.00051496143,4336,2
Lymphovasscular invasion,Location_2,0.0068006963,0.0002182372,2,2
Pathology_class_0,Differentiation,0.006771991,0.00079404423,2,3
pTstage,Pathology_class_0,0.0060348273,0.0009747849,5,2
Lymphovasscular invasion,Differentiation,0.005906887,0.0010315671,2,3
pTstage,Mucinous subtype_0,0.005656216,0.00043661956,5,2
Age,Pathology_class_2,0.0056431997,-0.00015963751,4336,2
max_diameter,Pathology_class_1,0.0053230226,0.00048796032,77,2
Age,Pathology_class_1,0.005309286,-0.00011806607,4336,2
ki67,Location_2,0.0052750288,-0.0018415058,27,2
Pathology_class_0,Location_1,0.0050427956,-0.0003858672,2,2
pTstage,Location_1,0.0048622335,-0.0007412747,5,2
Lymphovasscular invasion,Pathology_class_1,0.004676016,0.00058291195,2,2
Lymphovasscular invasion,Mucinous subtype_0,0.0046683666,0.0006102914,2,2
ki67,KRAS_result_L1_0,0.0045826985,0.0007971902,27,2
Pathology_class_0,KRAS_result_L1_1,0.004471332,-0.00022990243,2,2
ki67,BRAF_result_L1_0,0.004315605,-0.0012690253,27,2
