,Age,Gender,Differentiation,Lymphovasscular invasion,Perineural invasion,pTstage,max_diameter,ki67,Location_1,Location_2,Location_3,Pathology_class_0,Pathology_class_1,Pathology_class_2,Pathology_class_3,Pathology_class_4,Mucinous subtype_0,Mucinous subtype_1,Mucinous subtype_Unknown,KRAS_result_L1_0,KRAS_result_L1_1,NRAS_result_L1_0,NRAS_result_L1_1,BRAF_result_L1_0,BRAF_result_L1_1
Age,0.14607926,0.012863477,0.023157569,0.031473815,0.012555636,0.021926502,0.048677117,0.024784027,0.011889238,0.0068729273,0.007966482,0.013595759,0.005309286,0.0056431997,0.0,0.0,0.021211602,0.0022539212,0.0037083726,0.013957658,0.0030171736,0.002732828,0.0009638892,0.002353165,0.00033475057
Gender,0.012863476,0.063656345,0.0017919496,0.030543301,0.011918228,0.010055711,0.0082580745,0.008910992,0.0009584351,0.0018991848,0.0021984046,0.0013042516,0.0005020063,0.000587347,0.0,0.0,0.0033498467,0.0005139674,0.0004017285,0.0022726476,0.00055616593,8.524355e-05,0.0,0.0003037001,0.0
Differentiation,0.023157572,0.0017919501,0.07961709,0.005906873,0.0035744342,0.0033962051,0.011172181,0.0040548416,0.0018028885,0.002170726,0.0020992856,0.006771992,0.0009612032,0.0028124866,0.0,0.0,0.0014449984,0.00059512886,0.00080632675,0.003958857,0.001086788,9.806615e-06,3.9322138e-05,0.0006701735,6.7639803e-06
Lymphovasscular invasion,0.03147382,0.030543279,0.005906887,1.1117091,0.019182637,0.035908654,0.059130847,0.008695533,0.018149933,0.0068006963,0.002365674,0.012759126,0.004676016,0.00039865964,0.0,0.0,0.0046683666,0.0022875748,0.0036374235,0.015211879,0.0027239737,0.001135189,4.1358606e-05,0.0004223933,0.0
Perineural invasion,0.012555636,0.011918229,0.0035744337,0.019182669,0.29409167,0.011436855,0.0105532,0.011280613,0.002546849,0.0040654517,0.0021532963,0.0134719405,0.0002933522,0.0001350605,0.0,0.0,0.0026743924,0.00032357438,0.0021130298,0.01260635,0.0032166108,0.0016661319,0.0002798505,0.0001389489,0.0
pTstage,0.021926505,0.010055709,0.0033962,0.035908617,0.011436844,0.31347343,0.04254183,0.0076188706,0.0048622335,0.0006124602,0.0075030182,0.0060348273,0.0039842506,0.0013912123,0.0,0.0,0.005656216,0.00049209234,0.003110144,0.015444908,0.0013001604,0.0008434884,0.00017032071,0.0003452951,0.0
max_diameter,0.048677117,0.0082580745,0.011172178,0.05913085,0.010553197,0.04254184,0.137462,0.011079238,0.0070999027,0.007379128,0.0073896814,0.01077021,0.0053230226,0.00055672263,0.0,0.0,0.0068937936,0.001046224,0.0018496251,0.011113814,0.0011614138,0.0030663277,0.0008557849,0.0034287611,0.00049855234
ki67,0.024784017,0.008910993,0.0040548425,0.008695547,0.0112806,0.007618869,0.011079237,0.05635438,0.0027688937,0.0052750288,0.003957441,0.008429622,0.0011128223,0.00020180098,0.0,0.0,0.0018782039,0.00023945492,0.0011189841,0.0045826985,0.0008628083,0.0032817274,0.0011460246,0.004315605,0.0021577028
Location_1,0.011889241,0.0009584355,0.0018028885,0.018149922,0.0025468448,0.0048622303,0.007099904,0.0027688956,0.04003932,0.00080250326,0.00021310463,0.0050428007,0.00028468197,0.00093066803,0.0,0.0,7.857165e-05,0.00013300386,0.003012899,0.0009851905,2.8821218e-05,0.0010008094,0.0,0.00040370613,0.0006128365
Location_2,0.0068729282,0.0018991834,0.0021707257,0.0068006883,0.004065453,0.00061246305,0.0073791305,0.005275029,0.0008025026,0.006713927,0.0,0.00255026,0.0,0.0020769164,0.0,0.0,6.716692e-05,0.00016912748,0.0007802548,0.0035397224,6.217107e-05,0.00038893032,0.0,9.828736e-05,5.198392e-05
Location_3,0.007966479,0.0021984049,0.0020992854,0.0023656774,0.0021533025,0.007503027,0.007389683,0.0039574397,0.00021310431,0.0,0.034052867,0.0009794655,0.00016195924,0.00044805105,0.0,0.0,0.0008686732,0.0009202932,0.00018961588,0.001267397,0.0,0.00013812084,3.6982525e-05,0.003073681,0.0002584963
Pathology_class_0,0.013595757,0.0013042516,0.006771991,0.012759125,0.013471937,0.006034826,0.010770218,0.008429628,0.0050427956,0.0025502595,0.000979466,0.21528511,0.0,0.00023262747,0.0,0.0,0.0015852966,0.00018545485,0.0,0.020452969,0.004471332,0.0013203096,0.00024316733,0.0005561932,7.29208e-05
Pathology_class_1,0.0053092833,0.00050200615,0.0009612032,0.004676013,0.00029335296,0.003984251,0.005323024,0.0011128221,0.00028468197,0.0,0.00016195916,0.0,0.01688641,1.9130306e-05,0.0,0.0,0.0,0.0,0.0,0.0003817229,0.0,0.0,7.233277e-05,0.00036359072,0.0013984697
Pathology_class_2,0.005643197,0.00058734714,0.0028124864,0.0003986603,0.00013506079,0.0013912225,0.00055672246,0.00020180077,0.00093066774,0.0020769166,0.00044805073,0.0002326274,1.913036e-05,0.0051906114,0.0,0.0,0.00027565932,0.0,0.0,0.00020382636,0.0,1.0721774e-05,2.0037982e-05,2.9539962e-05,0.0
Pathology_class_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pathology_class_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mucinous subtype_0,0.021211604,0.003349845,0.0014449984,0.0046683485,0.0026743908,0.0056562163,0.006893796,0.0018782031,7.857169e-05,6.7166875e-05,0.0008686729,0.0015852974,0.0,0.0002756592,0.0,0.0,0.031224038,0.0,0.0,0.0026755258,0.0,0.0002511379,0.0,0.0,0.0
Mucinous subtype_1,0.0022539198,0.0005139674,0.00059512863,0.002287587,0.00032357662,0.000492094,0.0010462241,0.00023945545,0.00013300397,0.00016912768,0.0009202932,0.00018545637,0.0,0.0,0.0,0.0,0.0,0.010040031,0.0,0.0006043551,0.0,0.0,0.0,2.1945574e-05,0.0
Mucinous subtype_Unknown,0.0037083717,0.0004017286,0.00080632645,0.0036374202,0.0021130284,0.0031101534,0.001849628,0.0011189834,0.0030128993,0.0007802548,0.00018961607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043993916,0.0019744711,0.0,0.0,0.0,0.0,0.0
KRAS_result_L1_0,0.013957661,0.002272648,0.0039588558,0.015211892,0.012606356,0.01544492,0.01111381,0.004582698,0.0009851899,0.0035397226,0.0012673972,0.020452958,0.00038172246,0.00020382655,0.0,0.0,0.0026755258,0.000604355,0.001974471,0.01895826,0.0,0.0011008806,0.0,0.0,1.3073509e-05
KRAS_result_L1_1,0.0030171743,0.00055616605,0.0010867874,0.002723964,0.0032166066,0.0013001625,0.0011614126,0.00086280843,2.8821416e-05,6.217107e-05,0.0,0.0044713314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007936881,0.0,0.0,0.0,0.0
NRAS_result_L1_0,0.0027328269,8.524356e-05,9.806659e-06,0.0011351919,0.0016661332,0.00084348785,0.003066326,0.0032817267,0.0010008097,0.0003889307,0.00013812102,0.0013203108,0.0,1.0721815e-05,0.0,0.0,0.00025113806,0.0,0.0,0.0011008801,0.0,0.017702287,0.0,0.0,0.0
NRAS_result_L1_1,0.0009638875,0.0,3.932209e-05,4.1358868e-05,0.00027985236,0.00017032119,0.0008557831,0.0011460247,0.0,0.0,3.6982492e-05,0.0002431659,7.2332834e-05,2.0037982e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019043835,0.0,0.0
BRAF_result_L1_0,0.0023531653,0.00030369914,0.00067017414,0.0004223917,0.00013895522,0.00034529733,0.0034287618,0.0043156054,0.00040370604,9.828737e-05,0.0030736807,0.00055619207,0.00036359087,2.9539888e-05,0.0,0.0,0.0,2.1945722e-05,0.0,0.0,0.0,0.0,0.0,0.0033871576,0.0
BRAF_result_L1_1,0.0003347527,0.0,6.7633887e-06,0.0,0.0,0.0,0.00049855263,0.002157703,0.00061283616,5.198394e-05,0.00025849647,7.292186e-05,0.0013984693,0.0,0.0,0.0,0.0,0.0,0.0,1.3073355e-05,0.0,0.0,0.0,0.0,0.00042375605
