,Lymphovasscular invasion,pTstage,Perineural invasion,Pathology_class_0,Age,max_diameter,Differentiation,ki67,Gender,KRAS_result_L1_0,Mucinous subtype_Unknown,Location_1,Location_3,Mucinous subtype_0,Pathology_class_1
Lymphovasscular invasion,0.3017683,-9.5719275e-05,-0.001445788,-0.0013522687,-0.0010407887,-0.0002688444,0.0010315671,-0.00033956385,-0.001082086,5.466519e-06,-0.00029944122,0.0030006543,-7.817397e-05,0.0006102914,0.00058291195
pTstage,-9.571383e-05,0.04133859,0.0042867498,0.0009747849,-0.000859428,-0.020535577,-0.0014954937,0.002585233,-0.0009299461,-0.0027282787,0.0006485822,-0.0007412747,-0.0015941635,0.00043661956,0.00024483635
Perineural invasion,-0.0014457764,0.004286754,0.042579856,-0.0018463335,0.0013635046,-0.0010228006,0.00041257474,-0.0013008123,-0.00088393467,0.00036932324,0.00010041133,-0.00027580908,-0.00015677698,0.0007365052,-5.001509e-05
Pathology_class_0,-0.0013522359,0.0009747869,-0.0018463247,0.027868923,-0.0027780759,-0.0010408998,0.00079404423,-0.002981472,-0.00020207961,-0.0019968757,0.0,-0.0003858672,-0.00013003086,-0.00105181,0.0
Age,-0.0010407835,-0.0008594284,0.0013635064,-0.0027780705,0.025405478,0.011067591,-0.002161742,0.00013008929,0.0007086547,0.00064851716,-0.0005101109,0.00034685238,0.0014965117,-0.0006420732,-0.00011806607
max_diameter,-0.00026883036,-0.020535603,-0.0010227881,-0.0010408973,0.011067594,0.071054555,0.0039691804,-2.638797e-06,-0.000556243,-0.00040781774,-0.00035408593,-0.0014528476,0.00022266239,0.00068100484,0.00048796032
Differentiation,0.0010315629,-0.0014954956,0.00041257555,0.0007940417,-0.0021617373,0.003969185,0.003750764,0.00043499202,0.000115880124,0.000735025,-0.0002444275,0.00011766929,0.0007843449,0.0004768165,0.00020061743
ki67,-0.00033951917,0.0025852276,-0.0013008155,-0.002981475,0.00013009517,-2.6440496e-06,0.00043499251,0.009791542,-0.0010432584,0.0007971902,-0.00056432845,0.0007066443,-0.0001636655,-0.00018985604,-0.00042062704
Gender,-0.0010821032,-0.00092994235,-0.0008839297,-0.00020208104,0.0007086525,-0.0005562387,0.00011588125,-0.0010432565,0.010153431,0.00022365709,-4.6254103e-05,-9.409957e-05,-0.00043781073,-0.0003572915,-4.8643687e-05
KRAS_result_L1_0,5.4736934e-06,-0.0027282855,0.00036932155,-0.0019968736,0.0006485149,-0.00040781265,0.0007350247,0.000797192,0.00022365683,0.004491194,-0.0003869485,0.00020863414,5.1049765e-06,5.817624e-05,-7.4963566e-05
Mucinous subtype_Unknown,-0.00029944163,0.0006485833,0.00010041272,0.0,-0.0005101096,-0.00035408695,-0.00024442747,-0.00056432915,-4.6253732e-05,-0.00038694876,0.0057738055,-0.0003306923,-9.927684e-06,0.0,0.0
Location_1,0.003000676,-0.00074127724,-0.00027580594,-0.00038586976,0.00034685308,-0.001452846,0.00011766865,0.0007066447,-9.409904e-05,0.00020863449,-0.00033069245,0.004564657,0.00014195775,3.2685384e-05,-6.2646155e-05
Location_3,-7.819295e-05,-0.0015941648,-0.0001567773,-0.00013003086,0.0014965143,0.00022266149,0.000784345,-0.00016366405,-0.00043781043,5.1048582e-06,-9.927448e-06,0.0001419577,0.0054335687,-3.3305973e-06,2.7753397e-06
Mucinous subtype_0,0.00061027566,0.0004366244,0.00073649886,-0.0010518106,-0.00064207555,0.0006810039,0.00047681635,-0.00018985607,-0.0003572918,5.8176145e-05,0.0,3.2685195e-05,-3.3310707e-06,0.003559207,0.0
Pathology_class_1,0.0005829062,0.0002448348,-5.0015202e-05,0.0,-0.000118065924,0.00048795977,0.00020061767,-0.00042062675,-4.8644233e-05,-7.496384e-05,0.0,-6.2646235e-05,2.7756532e-06,0.0,0.0009000514
