,Age,Gender,Differentiation,Lymphovasscular invasion,Perineural invasion,pTstage,max_diameter,ki67,Location_1,Location_2,Location_3,Pathology_class_0,Pathology_class_1,Pathology_class_2,Pathology_class_3,Pathology_class_4,Mucinous subtype_0,Mucinous subtype_1,Mucinous subtype_Unknown,KRAS_result_L1_0,KRAS_result_L1_1,NRAS_result_L1_0,NRAS_result_L1_1,BRAF_result_L1_0,BRAF_result_L1_1
Age,0.5466666666666666,0.46,0.5,0.5333333333333333,0.5533333333333333,0.6666666666666666,0.46,0.46,0.5333333333333333,0.6,0.54,0.56,0.5666666666666667,0.5666666666666667,0.0,0.0,0.52,0.47333333333333333,0.54,0.48,0.5,0.68,0.6466666666666666,0.37333333333333335,0.5066666666666667
Gender,0.46,0.5466666666666666,0.54,0.5133333333333333,0.5266666666666666,0.56,0.5066666666666667,0.5066666666666667,0.49333333333333335,0.5133333333333333,0.56,0.58,0.58,0.4666666666666667,0.0,0.0,0.58,0.47333333333333333,0.4866666666666667,0.44666666666666666,0.4533333333333333,0.5533333333333333,0.0,0.4666666666666667,0.0
Differentiation,0.5,0.54,0.68,0.4533333333333333,0.35333333333333333,0.5466666666666666,0.3933333333333333,0.4,0.44666666666666666,0.52,0.31333333333333335,0.47333333333333333,0.38666666666666666,0.72,0.0,0.0,0.4666666666666667,0.7,0.6466666666666666,0.4066666666666667,0.41333333333333333,0.9466666666666667,0.6733333333333333,0.7,0.08
Lymphovasscular invasion,0.5333333333333333,0.5133333333333333,0.4533333333333333,0.5666666666666667,0.34,0.4,0.54,0.54,0.41333333333333333,0.47333333333333333,0.6133333333333333,0.54,0.5133333333333333,0.5533333333333333,0.0,0.0,0.5066666666666667,0.4066666666666667,0.5733333333333334,0.5,0.4866666666666667,0.56,0.56,0.41333333333333333,0.0
Perineural invasion,0.5533333333333333,0.5266666666666666,0.35333333333333333,0.34,0.6333333333333333,0.3466666666666667,0.52,0.5066666666666667,0.54,0.5266666666666666,0.62,0.49333333333333335,0.44666666666666666,0.36666666666666664,0.0,0.0,0.48,0.56,0.5266666666666666,0.5,0.49333333333333335,0.37333333333333335,0.37333333333333335,0.6533333333333333,0.0
pTstage,0.6666666666666666,0.56,0.5466666666666666,0.4,0.3466666666666667,0.16666666666666666,0.7666666666666667,0.4866666666666667,0.5733333333333334,0.64,0.7466666666666667,0.52,0.38666666666666666,0.84,0.0,0.0,0.42,0.68,0.43333333333333335,0.5,0.49333333333333335,0.7666666666666667,0.17333333333333334,0.32,0.0
max_diameter,0.46,0.5066666666666667,0.3933333333333333,0.54,0.52,0.7666666666666667,0.56,0.48,0.5733333333333334,0.5466666666666666,0.47333333333333333,0.5066666666666667,0.52,0.46,0.0,0.0,0.4533333333333333,0.49333333333333335,0.5333333333333333,0.4866666666666667,0.46,0.7066666666666667,0.43333333333333335,0.5,0.38666666666666666
ki67,0.46,0.5066666666666667,0.4,0.54,0.5066666666666667,0.4866666666666667,0.48,0.6666666666666666,0.49333333333333335,0.6933333333333334,0.4533333333333333,0.56,0.58,0.32,0.0,0.0,0.46,0.64,0.64,0.44666666666666666,0.4266666666666667,0.18,0.18,0.36,0.36
Location_1,0.5333333333333333,0.49333333333333335,0.44666666666666666,0.41333333333333333,0.54,0.5733333333333334,0.5733333333333334,0.49333333333333335,0.5133333333333333,0.24666666666666667,0.29333333333333333,0.56,0.52,0.54,0.0,0.0,0.48,0.46,0.5333333333333333,0.42,0.35333333333333333,0.5333333333333333,0.0,0.49333333333333335,0.49333333333333335
Location_2,0.6,0.5133333333333333,0.52,0.47333333333333333,0.5266666666666666,0.64,0.5466666666666666,0.6933333333333334,0.24666666666666667,0.68,0.0,0.5266666666666666,0.0,0.6933333333333334,0.0,0.0,0.46,0.6933333333333334,0.5266666666666666,0.6266666666666667,0.37333333333333335,0.31333333333333335,0.0,0.35333333333333333,0.6466666666666666
Location_3,0.54,0.56,0.31333333333333335,0.6133333333333333,0.62,0.7466666666666667,0.47333333333333333,0.4533333333333333,0.29333333333333333,0.0,0.22,0.5933333333333334,0.36666666666666664,0.22,0.0,0.0,0.5866666666666667,0.22,0.6,0.4866666666666667,0.0,0.25333333333333335,0.7466666666666667,0.7866666666666666,0.7866666666666666
Pathology_class_0,0.56,0.58,0.47333333333333333,0.54,0.49333333333333335,0.52,0.5066666666666667,0.56,0.56,0.5266666666666666,0.5933333333333334,0.5933333333333334,0.0,0.66,0.0,0.0,0.9333333333333333,0.66,0.0,0.5266666666666666,0.5266666666666666,0.6133333333333333,0.6133333333333333,0.37333333333333335,0.6
Pathology_class_1,0.5666666666666667,0.58,0.38666666666666666,0.5133333333333333,0.44666666666666666,0.38666666666666666,0.52,0.58,0.52,0.0,0.36666666666666664,0.0,0.66,0.4066666666666667,0.0,0.0,0.0,0.0,0.0,0.4866666666666667,0.0,0.0,0.68,0.3466666666666667,0.3466666666666667
Pathology_class_2,0.5666666666666667,0.4666666666666667,0.72,0.5533333333333333,0.36666666666666664,0.84,0.46,0.32,0.54,0.6933333333333334,0.22,0.66,0.4066666666666667,0.02666666666666667,0.0,0.0,0.5933333333333334,0.0,0.0,0.5333333333333333,0.0,0.1,0.9,0.5133333333333333,0.0
Pathology_class_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pathology_class_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mucinous subtype_0,0.52,0.58,0.4666666666666667,0.5066666666666667,0.48,0.42,0.4533333333333333,0.46,0.48,0.46,0.5866666666666667,0.9333333333333333,0.0,0.5933333333333334,0.0,0.0,0.66,0.0,0.0,0.5066666666666667,0.0,0.68,0.0,0.0,0.0
Mucinous subtype_1,0.47333333333333333,0.47333333333333333,0.7,0.4066666666666667,0.56,0.68,0.49333333333333335,0.64,0.46,0.6933333333333334,0.22,0.66,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.5666666666666667,0.0,0.0,0.0,0.38666666666666666,0.0
