,Age,Gender,Differentiation,Lymphovasscular invasion,Perineural invasion,pTstage,max_diameter,ki67,Location_1,Location_2,Location_3,Pathology_class_0,Pathology_class_1,Pathology_class_2,Pathology_class_3,Pathology_class_4,Mucinous subtype_0,Mucinous subtype_1,Mucinous subtype_Unknown,KRAS_result_L1_0,KRAS_result_L1_1,NRAS_result_L1_0,NRAS_result_L1_1,BRAF_result_L1_0,BRAF_result_L1_1
Age,0.025405478,0.0007086547,-0.002161742,-0.0010407835,0.0013635064,-0.0008594284,0.011067591,0.00013008929,0.00034685238,-0.00051496143,0.0014965117,-0.0027780705,-0.00011806607,-0.00015963751,0.0,0.0,-0.0006420732,-0.00013742114,-0.0005101109,0.00064851716,0.00044034302,-9.314807e-05,-0.0001737732,-0.0011057152,-0.00019498398
Gender,0.0007086525,0.010153431,0.00011588125,-0.0010821032,-0.0008839297,-0.00092994235,-0.0005562387,-0.0010432565,-9.409957e-05,-9.85741e-05,-0.00043781073,-0.00020208104,-4.8643687e-05,-0.00011318432,0.0,0.0,-0.0003572915,-7.9547455e-05,-4.6254103e-05,0.00022365709,0.00011210437,-5.552358e-06,0.0,4.3685748e-05,0.0
Differentiation,-0.0021617373,0.000115880124,0.003750764,0.0010315629,0.00041257555,-0.0014954956,0.003969185,0.00043499202,0.00011766929,0.00024516037,0.0007843449,0.0007940417,0.00020061743,-0.0021903445,0.0,0.0,0.0004768165,-0.0004599431,-0.0002444275,0.000735025,0.0003051365,2.638152e-06,-5.478457e-07,-0.00033282622,-2.2302424e-06
Lymphovasscular invasion,-0.0010407887,-0.001082086,0.0010315671,0.3017683,-0.001445788,-9.5719275e-05,-0.0002688444,-0.00033956385,0.0030006543,0.0002182372,-7.817397e-05,-0.0013522687,0.00058291195,-0.00019948663,0.0,0.0,0.0006102914,0.0012361857,-0.00029944122,5.466519e-06,0.00026523537,-2.2508033e-05,4.654148e-06,0.00024554125,0.0
Perineural invasion,0.0013635046,-0.00088393467,0.00041257474,-0.0014457764,0.042579856,0.004286754,-0.0010228006,-0.0013008123,-0.00027580908,-0.0006992503,-0.00015677698,-0.0018463335,-5.001509e-05,3.580616e-05,0.0,0.0,0.0007365052,-0.00011852233,0.00010041133,0.00036932324,0.000108111526,-2.0337964e-05,3.1360563e-05,1.2085492e-05,0.0
pTstage,-0.000859428,-0.0009299461,-0.0014954937,-9.571383e-05,0.0042867498,0.04133859,-0.020535577,0.002585233,-0.0007412747,-0.00015902738,-0.0015941635,0.0009747849,0.00024483635,-0.00078634865,0.0,0.0,0.00043661956,-6.21998e-05,0.0006485822,-0.0027282787,-0.00013348475,-0.00031254863,-1.7822069e-05,9.3393915e-05,0.0
max_diameter,0.011067594,-0.000556243,0.0039691804,-0.00026883036,-0.0010227881,-0.020535603,0.071054555,-2.638797e-06,-0.0014528476,9.814988e-05,0.00022266239,-0.0010408973,0.00048796032,-7.124201e-05,0.0,0.0,0.00068100484,0.00021992189,-0.00035408593,-0.00040781774,-0.00011698383,-0.0005977155,0.00014596383,0.0019646229,0.00010771921
ki67,0.00013009517,-0.0010432584,0.00043499251,-0.00033951917,-0.0013008155,0.0025852276,-2.6440496e-06,0.009791542,0.0007066443,-0.0018415058,-0.0001636655,-0.002981475,-0.00042062704,2.8773897e-05,0.0,0.0,-0.00018985604,0.000100628175,-0.00056432845,0.0007971902,9.4543015e-05,-0.00119675,-0.00041132967,-0.0012690253,-0.0008870515
Location_1,0.00034685308,-9.409904e-05,0.00011766865,0.003000676,-0.00027580594,-0.00074127724,-0.001452846,0.0007066447,0.004564657,0.0003669548,0.00014195775,-0.00038586976,-6.2646155e-05,-0.0005724546,0.0,0.0,3.2685384e-05,6.464031e-05,-0.00033069245,0.00020863449,5.5987475e-06,-0.00041453802,0.0,0.000102010235,3.157404e-05
Location_2,-0.00051496265,-9.857332e-05,0.00024516016,0.00021824519,-0.0006992492,-0.00015903237,9.814759e-05,-0.0018415069,0.00036695457,0.0011663284,0.0,-0.0001851534,0.0,-0.00054297666,0.0,0.0,2.7789296e-05,-4.1810643e-05,3.9270602e-05,-0.0009876319,3.9473434e-05,-6.9383226e-05,0.0,-4.3526958e-05,2.9533443e-05
