feature_1,feature_2,interaction_strength,interaction_signed_mean,positive_ratio,negative_ratio,sign_consistency,sign_label
Lymphovasscular invasion,max_diameter,0.059130847,-0.0002688444,0.46,0.54,0.0045466013,negative
Age,max_diameter,0.048677117,0.011067591,0.54,0.46,0.22736743,positive
pTstage,max_diameter,0.04254183,-0.020535577,0.23333333333333334,0.7666666666666667,0.48271492,negative
Lymphovasscular invasion,pTstage,0.035908654,-9.5719275e-05,0.6,0.4,0.0026656324,negative
Lymphovasscular invasion,Age,0.03147382,-0.0010407887,0.4666666666666667,0.5333333333333333,0.033068396,negative
Lymphovasscular invasion,Gender,0.030543279,-0.001082086,0.4866666666666667,0.5133333333333333,0.035427958,negative
Age,ki67,0.024784027,0.00013008929,0.54,0.46,0.005248917,positive
Age,Differentiation,0.023157569,-0.002161742,0.5,0.5,0.09334926,negative
pTstage,Age,0.021926505,-0.000859428,0.3333333333333333,0.6666666666666666,0.03919585,negative
Age,Mucinous subtype_0,0.021211602,-0.0006420732,0.48,0.52,0.030269908,negative
Pathology_class_0,KRAS_result_L1_0,0.020452969,-0.0019968757,0.47333333333333333,0.5266666666666666,0.097632565,negative
Lymphovasscular invasion,Perineural invasion,0.019182637,-0.001445788,0.66,0.34,0.07536961,negative
Lymphovasscular invasion,Location_1,0.018149933,0.0030006543,0.5866666666666667,0.41333333333333333,0.16532591,positive
pTstage,KRAS_result_L1_0,0.015444908,-0.0027282787,0.5,0.5,0.17664583,negative
Lymphovasscular invasion,KRAS_result_L1_0,0.015211879,5.466519e-06,0.5,0.5,0.00035935856,positive
Age,KRAS_result_L1_0,0.013957658,0.00064851716,0.52,0.48,0.04646318,positive
Pathology_class_0,Age,0.013595757,-0.0027780759,0.44,0.56,0.20433404,negative
Perineural invasion,Pathology_class_0,0.0134719405,-0.0018463335,0.5066666666666667,0.49333333333333335,0.1370503,negative
Age,Gender,0.012863477,0.0007086547,0.54,0.46,0.05509045,positive
Lymphovasscular invasion,Pathology_class_0,0.012759126,-0.0013522687,0.46,0.54,0.105984434,negative
Perineural invasion,KRAS_result_L1_0,0.01260635,0.00036932324,0.5,0.5,0.029296605,positive
Perineural invasion,Age,0.012555636,0.0013635046,0.44666666666666666,0.5533333333333333,0.10859701,positive
Perineural invasion,Gender,0.011918229,-0.00088393467,0.47333333333333333,0.5266666666666666,0.07416661,negative
Age,Location_1,0.011889238,0.00034685238,0.4666666666666667,0.5333333333333333,0.029173642,positive
pTstage,Perineural invasion,0.011436844,0.0042867498,0.6533333333333333,0.3466666666666667,0.37481928,positive
